Wall time,Step,Value
1521630910.6582396,1088,0.3320455551147461
1521630920.0204098,2176,0.09131454676389694
1521630929.1589017,3264,0.03996976837515831
1521630938.5038486,4352,0.0223280917853117
1521630948.150147,5440,0.01940421387553215
1521630957.7834406,6528,0.010311886668205261
1521630968.883193,7616,0.00747649883851409
1521630977.8117561,8704,0.005733674392104149
1521630985.8812594,9792,0.003724438138306141
1521630994.7314427,10880,0.004945297259837389
1521631005.1488857,11968,0.0027001206763088703
1521631015.0001352,13056,0.0021281393710523844
1521631024.546667,14144,0.002635260811075568
1521631033.8170283,15232,0.0011608347995206714
1521631042.920152,16320,0.0009664109675213695
1521631052.1420996,17408,0.0012521292082965374
1521631061.1823683,18496,0.0011427751742303371
1521631070.3423092,19584,0.0006004070164635777
1521631079.645997,20672,0.002175453817471862
1521631088.865731,21760,0.0014256646391004324
